,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,,,,,,,
1,0.55,0.85,0.6,0.7,0.5,0.45,0.15,0.4,0.3,0.5,,,,,,,,,,,,
1,0.45,0.55,0.4,0.5,0.6,0.55,0.45,0.6,0.5,0.4,,,,,,,4,0.615,0.65,0.775,0.695,0.655
1,0.45,0.25,0.35,0.35,0.45,0.55,0.75,0.65,0.65,0.55,,,,,,,5,0.825,0.78,0.715,0.725,0.705
1,0.3,0.5,0.5,0.4,0.3,0.7,0.5,0.5,0.6,0.7,,,,,,,,,,,,
1,0.75,0.55,0.7,0.75,0.75,0.25,0.45,0.3,0.25,0.25,,,,,,,,,,,,
1,0.4,0.6,0.6,0.6,0.65,0.6,0.4,0.4,0.4,0.35,,,,,,,,,,,,
1,0.6,0.65,0.6,0.75,0.6,0.4,0.35,0.4,0.25,0.4,,,,,,,,,,,,
1,0.4,0.5,0.55,0.45,0.4,0.6,0.5,0.45,0.55,0.6,,,,,,,,,,,,
1,0.6,0.6,0.55,0.3,0.2,0.4,0.4,0.45,0.7,0.8,,,,,,,,,,,,
1,0.7,0.5,0.35,0.55,0.45,0.3,0.5,0.65,0.45,0.55,,,,,,,,,,,,
2,0.55,0.3,0.2,0.5,0.45,0.2,0.45,0.7,0.35,0.35,0.25,0.25,0.1,0.15,0.2,,,,,,,
2,0.35,0.6,0.4,0.5,0.55,0.45,0.2,0.5,0.4,0.25,0.2,0.2,0.1,0.1,0.2,,,,,,,
2,0.6,0.45,0.25,0.4,0.6,0.1,0.15,0.25,0.3,0.15,0.3,0.4,0.5,0.3,0.25,,,,,,,
2,0.25,0.35,0.6,0.55,0.45,0.15,0.35,0.3,0.35,0.35,0.6,0.3,0.1,0.1,0.2,,,,,,,
2,0.7,0.6,0.5,0.5,0.6,0.2,0.2,0.35,0.3,0.2,0.1,0.2,0.15,0.2,0.2,,,,,,,
2,0.35,0.6,0.25,0.45,0.2,0.5,0.15,0.55,0.4,0.55,0.15,0.25,0.2,0.15,0.25,,,,,,,
2,0.35,0.15,0.55,0.65,0.5,0.45,0.35,0.3,0.15,0.1,0.2,0.5,0.15,0.2,0.4,,,,,,,
2,0.7,0.65,0.45,0.55,0.35,0.25,0.15,0.1,0.35,0.45,0.05,0.2,0.45,0.1,0.2,,,,,,,
2,0.35,0.3,0.65,0.45,0.55,0.2,0.4,0.15,0.5,0.3,0.45,0.3,0.2,0.05,0.15,,,,,,,
2,0.4,0.7,0.85,0.6,0.65,0.55,0.1,0.1,0.3,0.25,0.05,0.2,0.05,0.1,0.1,,,,,,,
3,0.7,0.75,0.2,0.35,0.5,0.2,0.05,0.25,0.4,0.25,0.1,0.2,0.55,0.25,0.25,,,,,,,
3,0.4,0.8,0.7,0.6,0.55,0.25,0.2,0.25,0.3,0.25,0.35,0,0.05,0.1,0.2,,,,,,,
3,0.4,0.75,0.7,0.85,0.8,0.35,0.15,0.15,0.05,0.15,0.25,0.1,0.15,0.1,0.05,,,,,,,
3,0.45,0.8,0.7,0.55,0.85,0.45,0.1,0.15,0.2,0.15,0.1,0.1,0.15,0.25,0,,,,,,,
3,0.65,0.3,0.35,0.45,0.25,0.2,0.6,0.4,0.15,0.3,0.15,0.1,0.25,0.4,0.45,,,,,,,
3,0.45,0.8,0.7,0.8,0.8,0.25,0.15,0.1,0.1,0.05,0.3,0.05,0.2,0.1,0.15,,,,,,,
3,0.55,0.5,0.45,0.45,0.65,0.25,0.2,0.2,0.35,0.15,0.2,0.3,0.35,0.2,0.2,,,,,,,
3,0.75,0.7,0.45,0.45,0.4,0.1,0.25,0.5,0.45,0.5,0.15,0.05,0.05,0.1,0.1,,,,,,,
3,0.45,0.4,0.75,0.55,0.55,0.45,0.45,0.15,0.4,0.15,0.1,0.15,0.1,0.05,0.3,,,,,,,
3,0.7,0.8,0.5,0.45,0.5,0.2,0.2,0.35,0.45,0.45,0.1,0,0.15,0.1,0.05,,,,,,,
4,0.45,0.25,0.3,0.45,0.25,0.55,0.75,0.7,0.55,0.75,,,,,,,,,,,,
4,0.45,0.7,0.7,0.7,0.7,0.55,0.3,0.3,0.3,0.3,,,,,,,,,,,,
4,0.5,0.4,0.9,0.65,0.45,0.5,0.6,0.1,0.35,0.55,,,,,,,,,,,,
4,0.85,0.85,0.9,0.8,0.9,0.15,0.15,0.1,0.2,0.1,,,,,,,,,,,,
4,0.8,0.95,0.9,0.9,0.8,0.2,0.05,0.1,0.1,0.2,,,,,,,,,,,,
4,0.85,0.6,0.8,0.5,0.6,0.15,0.4,0.2,0.5,0.4,,,,,,,,,,,,
4,0.45,0.7,0.75,0.85,0.75,0.55,0.3,0.25,0.15,0.25,,,,,,,,,,,,
4,0.55,0.6,0.85,0.8,0.65,0.45,0.4,0.15,0.2,0.35,,,,,,,,,,,,
4,0.65,0.7,0.8,0.7,0.8,0.35,0.3,0.2,0.3,0.2,,,,,,,,,,,,
4,0.6,0.75,0.85,0.6,0.65,0.4,0.25,0.15,0.4,0.35,,,,,,,,,,,,
5,0.85,0.7,0.45,0.45,0.65,0.15,0.3,0.55,0.55,0.35,,,,,,,,,,,,
5,0.6,0.55,0.7,0.75,0.65,0.4,0.45,0.3,0.25,0.35,,,,,,,,,,,,
5,0.9,0.8,0.6,0.75,0.6,0.1,0.2,0.4,0.25,0.4,,,,,,,,,,,,
5,0.85,0.75,0.75,0.55,0.45,0.15,0.25,0.25,0.45,0.55,,,,,,,,,,,,
5,0.8,0.9,0.75,0.65,0.65,0.2,0.1,0.25,0.35,0.35,,,,,,,,,,,,
5,0.85,0.65,0.65,0.5,0.5,0.15,0.35,0.35,0.5,0.5,,,,,,,,,,,,
5,0.95,0.9,0.9,0.95,0.9,0.05,0.1,0.1,0.05,0.1,,,,,,,,,,,,
5,0.85,0.55,0.45,0.75,0.75,0.15,0.45,0.55,0.25,0.25,,,,,,,,,,,,
5,0.8,1,0.95,0.95,0.9,0.2,0,0.05,0.05,0.1,,,,,,,,,,,,
5,0.8,1,0.95,0.95,1,0.2,0,0.05,0.05,0,,,,,,,,,,,,
