,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,Briars
1.0,0.65,0.7,0.45,0.4,0.5,0.35,0.3,0.55,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.011320000000000005
2.0,0.35,0.55,0.75,0.6,0.7,0.65,0.45,0.25,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.11395999999999998
3.0,0.95,1.0,1.0,1.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00448
4.0,0.6,0.75,0.9,0.85,0.8,0.4,0.25,0.1,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.010880000000000004
5.0,0.9,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008600000000000007
6.0,0.2,0.6,0.7,0.85,0.75,0.8,0.4,0.3,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0678
7.0,0.15,0.55,0.5,0.2,0.65,0.85,0.45,0.5,0.8,0.35,0.0,0.0,0.0,0.0,0.0,0.08404000000000003
8.0,0.45,0.3,0.2,0.25,0.3,0.55,0.7,0.8,0.75,0.7,0.0,0.0,0.0,0.0,0.0,0.007429999999999999
9.0,0.1,0.55,0.3,0.5,0.55,0.25,0.1,0.25,0.1,0.1,0.65,0.35,0.45,0.4,0.35,0.06505333333333334
10.0,0.4,0.15,0.1,0.25,0.25,0.3,0.35,0.6,0.3,0.5,0.3,0.5,0.3,0.45,0.25,0.06536
11.0,0.2,0.15,0.15,0.05,0.0,0.25,0.6,0.7,0.8,0.95,0.55,0.25,0.15,0.15,0.05,0.08826666666666666
12.0,0.5,0.5,0.5,0.55,0.4,0.05,0.0,0.0,0.0,0.0,0.45,0.5,0.5,0.45,0.6,0.02293333333333333
13.0,0.1,0.15,0.25,0.1,0.05,0.9,0.85,0.75,0.9,0.95,0.0,0.0,0.0,0.0,0.0,0.12833999999999998
14.0,0.9,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022200000000000024
15.0,0.5,0.2,0.3,0.2,0.35,0.45,0.4,0.55,0.55,0.5,0.05,0.4,0.15,0.25,0.15,0.010720000000000002
16.0,0.15,0.25,0.55,0.5,0.4,0.8,0.6,0.35,0.4,0.3,0.05,0.15,0.1,0.1,0.3,0.027920000000000007
17.0,0.1,0.15,0.25,0.3,0.25,0.1,0.25,0.2,0.4,0.25,0.8,0.6,0.55,0.3,0.5,0.13643999999999998
18.0,0.1,0.0,0.45,0.6,0.55,0.9,1.0,0.55,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.02838666666666667
19.0,0.2,0.35,0.2,0.25,0.25,0.3,0.3,0.35,0.4,0.3,0.5,0.35,0.45,0.35,0.45,0.022533333333333336
20.0,0.35,0.3,0.35,0.3,0.55,0.3,0.1,0.35,0.25,0.2,0.35,0.6,0.3,0.45,0.25,0.03062666666666666
21.0,0.1,0.0,0.0,0.15,0.05,0.85,0.85,0.6,0.5,0.55,0.05,0.15,0.4,0.35,0.4,0.05623999999999999
22.0,0.15,0.15,0.1,0.25,0.1,0.1,0.1,0.5,0.3,0.3,0.75,0.75,0.4,0.45,0.6,0.02026666666666667
23.0,0.9,0.85,0.95,0.8,0.75,0.1,0.15,0.05,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0094
24.0,0.4,0.6,0.6,0.35,0.55,0.6,0.4,0.4,0.65,0.45,0.0,0.0,0.0,0.0,0.0,0.012620000000000001
25.0,0.8,0.65,0.55,0.6,0.4,0.2,0.35,0.45,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.15278
26.0,0.65,0.3,0.2,0.3,0.05,0.35,0.7,0.8,0.7,0.95,0.0,0.0,0.0,0.0,0.0,0.033359999999999994
27.0,0.55,0.45,0.35,0.35,0.15,0.45,0.55,0.65,0.65,0.85,0.0,0.0,0.0,0.0,0.0,0.031139999999999994
28.0,0.35,0.55,0.65,0.45,0.5,0.45,0.15,0.2,0.2,0.25,0.2,0.3,0.15,0.35,0.25,0.11789333333333336
29.0,0.1,0.05,0.2,0.1,0.1,0.1,0.05,0.0,0.1,0.2,0.8,0.9,0.8,0.8,0.7,0.07801333333333334
30.0,0.2,0.5,0.3,0.5,0.25,0.75,0.4,0.6,0.25,0.4,0.05,0.1,0.1,0.25,0.35,0.03204
31.0,0.2,0.65,0.75,0.6,0.85,0.8,0.35,0.25,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.04686000000000001
32.0,0.8,0.45,0.5,0.45,0.3,0.2,0.55,0.5,0.55,0.7,0.0,0.0,0.0,0.0,0.0,0.02525
33.0,0.95,1.0,1.0,1.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11852
34.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,0.25686666666666663
35.0,0.65,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.2,0.25,0.2,0.6,0.6,0.55,0.5,0.09334666666666666
36.0,0.85,0.8,0.7,0.4,0.55,0.05,0.15,0.25,0.4,0.4,0.1,0.05,0.05,0.2,0.05,0.07665333333333336
37.0,0.45,0.25,0.1,0.35,0.45,0.55,0.6,0.65,0.3,0.3,0.0,0.15,0.25,0.35,0.25,0.026613333333333333
38.0,0.05,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.2,0.8,1.0,1.0,1.0,0.8,0.09340000000000001
39.0,0.35,0.7,0.65,0.4,0.6,0.6,0.05,0.05,0.25,0.1,0.05,0.25,0.3,0.35,0.3,0.03341333333333334
40.0,0.1,0.05,0.0,0.0,0.05,0.9,0.7,0.8,0.95,0.95,0.0,0.25,0.2,0.05,0.0,0.04317333333333333
41.0,0.1,0.35,0.4,0.4,0.45,0.9,0.65,0.55,0.45,0.5,0.0,0.0,0.05,0.15,0.05,0.049479999999999996
42.0,0.5,0.25,0.05,0.3,0.3,0.5,0.75,0.95,0.7,0.6,0.0,0.0,0.0,0.0,0.1,0.03721333333333332
43.0,0.9,1.0,1.0,0.95,0.85,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.04009333333333333
44.0,0.9,0.75,0.65,0.65,0.7,0.1,0.1,0.2,0.3,0.3,0.0,0.15,0.15,0.05,0.0,0.056479999999999995
45.0,0.35,0.65,0.9,0.85,1.0,0.55,0.1,0.05,0.05,0.0,0.1,0.25,0.05,0.1,0.0,0.0
46.0,0.55,0.65,0.65,0.55,0.55,0.45,0.35,0.35,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.55,0.15,0.1,0.3,0.2,0.45,0.85,0.9,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.25,0.45,0.45,0.55,0.2,0.75,0.55,0.55,0.45,0.8,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.15,0.2,0.3,0.2,0.2,0.85,0.8,0.7,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.25,0.45,0.6,0.45,0.55,0.75,0.55,0.4,0.55,0.45,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.2,0.1,0.3,0.35,0.25,0.8,0.8,0.65,0.6,0.75,0.0,0.1,0.05,0.05,0.0,0.0
52.0,0.65,0.5,0.4,0.4,0.5,0.15,0.1,0.45,0.45,0.45,0.2,0.4,0.15,0.15,0.05,0.0
53.0,0.15,0.1,0.1,0.4,0.35,0.85,0.85,0.7,0.5,0.5,0.0,0.05,0.2,0.1,0.15,0.0
54.0,0.75,0.7,0.6,0.5,0.45,0.25,0.3,0.35,0.45,0.45,0.0,0.0,0.05,0.05,0.1,0.0
55.0,0.05,0.25,0.6,0.6,0.5,0.9,0.55,0.35,0.25,0.35,0.05,0.2,0.05,0.15,0.15,0.0
56.0,0.9,0.55,0.5,0.65,0.45,0.1,0.05,0.45,0.35,0.45,0.0,0.4,0.05,0.0,0.1,0.0
57.0,0.9,0.85,0.65,0.55,0.5,0.1,0.15,0.3,0.4,0.45,0.0,0.0,0.05,0.05,0.05,0.0
58.0,0.25,0.3,0.1,0.25,0.6,0.75,0.7,0.85,0.7,0.4,0.0,0.0,0.05,0.05,0.0,0.0
59.0,0.55,0.4,0.45,0.35,0.3,0.45,0.55,0.55,0.45,0.65,0.0,0.05,0.0,0.2,0.05,0.0
60.0,0.4,0.1,0.15,0.3,0.35,0.6,0.8,0.7,0.6,0.6,0.0,0.1,0.15,0.1,0.05,0.0
61.0,0.15,0.2,0.2,0.2,0.2,0.6,0.65,0.6,0.6,0.7,0.25,0.15,0.2,0.2,0.1,0.0
62.0,0.65,0.25,0.4,0.55,0.45,0.15,0.3,0.15,0.2,0.4,0.2,0.45,0.45,0.25,0.15,0.0
63.0,0.4,0.25,0.35,0.3,0.45,0.35,0.35,0.3,0.3,0.35,0.25,0.4,0.35,0.4,0.2,0.0
64.0,0.7,0.75,0.5,0.5,0.75,0.2,0.1,0.45,0.35,0.15,0.1,0.15,0.05,0.15,0.1,0.0
65.0,0.1,0.2,0.05,0.35,0.55,0.6,0.65,0.9,0.6,0.45,0.3,0.15,0.05,0.05,0.0,0.0
66.0,0.25,0.45,0.25,0.4,0.35,0.4,0.45,0.7,0.55,0.65,0.35,0.1,0.05,0.05,0.0,0.0
67.0,0.75,0.2,0.3,0.45,0.45,0.25,0.4,0.3,0.3,0.25,0.0,0.4,0.4,0.25,0.3,0.0
68.0,0.25,0.1,0.3,0.45,0.6,0.75,0.75,0.4,0.45,0.25,0.0,0.15,0.3,0.1,0.15,0.0
69.0,0.15,0.25,0.3,0.45,0.5,0.5,0.65,0.65,0.55,0.5,0.35,0.1,0.05,0.0,0.0,0.0
70.0,0.6,0.55,0.45,0.55,0.25,0.4,0.35,0.45,0.4,0.65,0.0,0.1,0.1,0.05,0.1,0.0
71.0,0.5,0.6,0.5,0.4,0.4,0.45,0.15,0.35,0.4,0.45,0.05,0.25,0.15,0.2,0.15,0.0
72.0,0.7,0.8,0.5,0.35,0.45,0.1,0.0,0.2,0.15,0.2,0.2,0.2,0.3,0.5,0.35,0.0
73.0,0.5,0.5,0.45,0.4,0.35,0.45,0.45,0.35,0.45,0.35,0.05,0.05,0.2,0.15,0.3,0.0
74.0,0.75,0.2,0.2,0.25,0.25,0.25,0.7,0.65,0.75,0.7,0.0,0.1,0.15,0.0,0.05,0.0
75.0,0.7,0.2,0.35,0.35,0.45,0.3,0.8,0.65,0.5,0.4,0.0,0.0,0.0,0.15,0.15,0.0
76.0,0.15,0.15,0.2,0.25,0.55,0.35,0.65,0.75,0.45,0.3,0.5,0.2,0.05,0.3,0.15,0.0
77.0,0.8,0.75,0.7,0.4,0.25,0.2,0.25,0.25,0.45,0.25,0.0,0.0,0.05,0.15,0.5,0.0
78.0,0.95,0.55,0.55,0.3,0.3,0.05,0.25,0.3,0.4,0.65,0.0,0.2,0.15,0.3,0.05,0.0
79.0,0.15,0.2,0.4,0.5,0.35,0.75,0.55,0.55,0.45,0.65,0.1,0.25,0.05,0.05,0.0,0.0
80.0,0.6,0.9,0.6,0.4,0.55,0.4,0.1,0.4,0.6,0.45,0.0,0.0,0.0,0.0,0.0,0.0
81.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.1,0.1,0.1,0.25,0.15,0.9,0.65,0.35,0.3,0.4,0.0,0.25,0.55,0.45,0.45,0.0
83.0,0.4,0.7,0.6,0.4,0.45,0.15,0.15,0.25,0.3,0.25,0.45,0.15,0.15,0.3,0.3,0.0
84.0,0.9,0.95,0.85,0.95,0.9,0.1,0.05,0.15,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.8,0.95,1.0,1.0,1.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.4,0.6,0.5,0.65,0.4,0.5,0.1,0.2,0.15,0.3,0.1,0.3,0.3,0.2,0.3,0.0
87.0,0.3,0.5,0.35,0.05,0.1,0.7,0.5,0.65,0.8,0.55,0.0,0.0,0.0,0.15,0.35,0.0
88.0,0.9,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
